mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.3435147285461424,0.048705208374345874,1.4579831123352052,0.03520680997845184,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6208250737140537,0.6179559801475615,0.63999193512822,0.634986024649488,0.6178547251050734,0.6263227477488792,0.009314866372115175,4,0.6452613597224245,0.6428497181604977,0.6409285050797165,0.6388762573302413,0.647692533783738,0.6431216748153237,0.0031105795840884374
3.526069974899292,0.04334802458481025,1.517990779876709,0.03034741506183406,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6266993935205595,0.6220861151457511,0.6419546613937761,0.6341747225205872,0.6219386307983182,0.6293707046757985,0.007705471097378629,2,0.6539011608681549,0.653215271202134,0.6500972806973504,0.6489229002148712,0.6588894731475066,0.6530052172260034,0.0034811697018846625
3.4597615718841555,0.03526305267249483,1.4738618373870849,0.013307822465544622,0.1,0.05,rbf,"{'C': 0.1, 'gamma': 0.05, 'kernel': 'rbf'}",0.6208890261839005,0.617186505787335,0.6381612971291213,0.6322357616848652,0.6161889197653447,0.6249323021101134,0.008730853414062578,6,0.6418316917228271,0.6397282521585113,0.6393954308826164,0.6369422806527802,0.6446977108745282,0.6405190732582525,0.002602513980918391
3.4430770874023438,0.06529170123720623,1.5340919017791748,0.0371804478950173,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6135820559537692,0.6183009259330181,0.6292705762051238,0.6247346515315606,0.6111590183241256,0.6194094455895194,0.006765449744110352,19,0.6247802573874462,0.6215321646629297,0.6209024743426232,0.6213857951975859,0.6234418564022224,0.6224085095985614,0.0014679959519709389
3.700463628768921,0.09703105846935582,1.6351891040802002,0.02923544520895276,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.5919005886252496,0.6025400233209662,0.6096799930277956,0.5896336272185838,0.5890560072814309,0.5965620478948053,0.00817177503344254,27,0.6013700607049812,0.5996462553037207,0.595915658764513,0.5997051627736639,0.602281288720207,0.5997836852534172,0.002179049877373627
3.503004550933838,0.03790747054368894,1.3817089557647706,0.03021364887113742,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6253375291241019,0.6196789601000723,0.6363251405506704,0.6300664880450535,0.6112827747458532,0.6245381785131503,0.00859594525778019,9,0.6713805468057755,0.6748975000841326,0.6702125144788786,0.6728911805416438,0.6776393925528068,0.6734042268926476,0.002634844161535458
3.49519681930542,0.07600237655860538,1.4213150024414063,0.04292224450808798,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6195545229081194,0.6188356124460828,0.630592637536663,0.6273011229640632,0.6097991505183484,0.6212166092746554,0.007262523724519226,15,0.7012400647555519,0.7052569301619681,0.6995667891854842,0.7011847174655954,0.7038857166219895,0.7022268436381178,0.0020527509898742554
4.541974020004273,0.8577283689849241,1.8909172534942627,0.41467536119136644,1.0,0.05,rbf,"{'C': 1, 'gamma': 0.05, 'kernel': 'rbf'}",0.6274683647132056,0.6238003934985025,0.639318349270418,0.6307776962582539,0.6117463151859726,0.6266222237852705,0.009038040618411142,3,0.6681824431354739,0.6707570329510214,0.663951628510842,0.6659675712543263,0.6715042595422003,0.6680725870787728,0.002842818496852922
4.161294460296631,0.6545144257652746,1.5236554622650147,0.06677901429956587,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6248432090697174,0.6170372633203172,0.6398697470809227,0.6283598320391665,0.6129546562751014,0.624612941557045,0.009382631215895092,8,0.6342847828838953,0.6325906613547709,0.6324258950492789,0.6307527997365576,0.6349086304771941,0.6329925539003394,0.0014724349751455848
3.976676654815674,0.09918473970427162,1.6966317176818848,0.05945145596104748,1.0,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6026748782057174,0.6071620875190742,0.6147882780552033,0.6173617007657927,0.5953608632955776,0.607469561568273,0.008014014370045085,23,0.6089991544385032,0.6096690439405699,0.6072022123802383,0.6081993898948137,0.6100791954087047,0.608829799212566,0.0010334852263710192
